ward_code,osni_ward_lgd,nimdm_ward_lgd
95BB16,LISBANE Ards,Lisbane Ards
95BB17,LOUGHRIES Ards,Loughries Ards
95BB18,MILLISLE Ards,Millisle Ards
95BB19,MOVILLA Ards,Movilla Ards
95BB20,PORTAFERRY Ards,Portaferry Ards
95BB21,PORTAVOGIE Ards,Portavogie Ards
95BB22,SCRABO Ards,Scrabo Ards
95BB23,WHITESPOTS Ards,Whitespots Ards
95CC01,ABBEY PARK Armagh,Abbey Park Armagh
95CC02,BALLYMARTRIM Armagh,Ballymartrim Armagh
95CC03,CALLAN BRIDGE Armagh,Callan Bridge Armagh
95CC04,CARRIGATUKE Armagh,Carrigatuke Armagh
95CC05,CHARLEMONT Armagh,Charlemont Armagh
95CC06,DEMESNE Armagh,Demesne Armagh
95CC07,DERRYNOOSE Armagh,Derrynoose Armagh
95CC08,DOWNS Armagh,Downs Armagh
95CC09,HAMILTONSBAWN Armagh,Hamiltonsbawn Armagh
95CC10,HOCKLEY Armagh,Hockley Armagh
95CC11,KEADY Armagh,Keady Armagh
95CC12,KILLEEN Armagh,Killeen Armagh
95CC13,KILLYLEA Armagh,Killylea Armagh
95CC14,LAURELVALE Armagh,Laurelvale Armagh
95CC15,LOUGHGALL Armagh,Loughgall Armagh
95CC16,MARKETHILL Armagh,Markethill Armagh
95CC17,MILFORD Armagh,Milford Armagh
95CC18,OBSERVATORY Armagh,Observatory Armagh
95CC19,POYNTZ PASS Armagh,Poyntz Pass Armagh
95CC20,RICH HILL Armagh,Rich Hill Armagh
95CC21,TANDRAGEE Armagh,Tandragee Armagh
95CC22,THE MALL Armagh,The Mall Armagh
95DD01,ACADEMY Ballymena,Academy Ballymena
95DD02,AHOGHILL Ballymena,Ahoghill Ballymena
95DD03,ARDEEVIN Ballymena,Ardeevin Ballymena
95DD04,BALLEE Ballymena,Ballee Ballymena
95DD05,BALLYKEEL Ballymena,Ballykeel Ballymena
95DD06,BALLYLOUGHAN Ballymena,Ballyloughan Ballymena
95DD07,BROUGHSHANE Ballymena,Broughshane Ballymena
95DD08,CASTLE DEMESNE Ballymena,Castle Demesne Ballymena
95DD09,CRAIGYWARREN Ballymena,Craigywarren Ballymena
95DD10,CULLYBACKEY Ballymena,Cullybackey Ballymena
95DD11,DUNCLUG Ballymena,Dunclug Ballymena
95DD12,DUNMINNING Ballymena,Dunminning Ballymena
95DD13,FAIR GREEN Ballymena,Fair Green Ballymena
95DD14,GALGORM Ballymena,Galgorm Ballymena
95DD15,GLENRAVEL Ballymena,Glenravel Ballymena
95DD16,GLENWHIRRY Ballymena,Glenwhirry Ballymena
95DD17,GRANGE Ballymena,Grange Ballymena
95DD18,HARRYVILLE Ballymena,Harryville Ballymena
95DD19,KELLS Ballymena,Kells Ballymena
95DD20,MOAT Ballymena,Moat Ballymena
95DD21,PARK Ballymena,Park Ballymena
95DD22,PORTGLENONE Ballymena,Portglenone Ballymena
95DD23,SLEMISH Ballymena,Slemish Ballymena
95DD24,SUMMERFIELD Ballymena,Summerfield Ballymena
95EE01,BALLYHOE AND CORKEY Ballymoney,Ballyhoe and Corkey Ballymoney
95EE02,BENVARDIN Ballymoney,Benvardin Ballymoney
95EE03,CARNANY Ballymoney,Carnany Ballymoney
95EE04,CLOGH MILLS Ballymoney,Clogh Mills Ballymoney
95EE05,DERVOCK Ballymoney,Dervock Ballymoney
95EE06,DUNLOY Ballymoney,Dunloy Ballymoney
95EE07,FAIRHILL Ballymoney,Fairhill Ballymoney
95EE08,GLEBE Ballymoney,Glebe Ballymoney
95EE09,KILLOQUIN LOWER Ballymoney,Killoquin Lower Ballymoney
95EE10,KILLOQUIN UPPER Ballymoney,Killoquin Upper Ballymoney
95EE11,KNOCKAHOLET Ballymoney,Knockaholet Ballymoney
95EE12,NEWHILL Ballymoney,Newhill Ballymoney
95EE13,ROUTE Ballymoney,Route Ballymoney
95EE14,SEACON Ballymoney,Seacon Ballymoney
95EE15,STRANOCUM Ballymoney,Stranocum Ballymoney
95EE16,THE VOW Ballymoney,The Vow Ballymoney
95FF01,BALLYDOWN Banbridge,Ballydown Banbridge
95FF02,BALLYWARD Banbridge,Ballyward Banbridge
95FF03,BANBRIDGE WEST Banbridge,Banbridge West Banbridge
95FF04,BANNSIDE Banbridge,Bannside Banbridge
95FF05,DROMORE NORTH Banbridge,Dromore North Banbridge
95FF06,DROMORE SOUTH Banbridge,Dromore South Banbridge
95FF07,EDENDERRY Banbridge,Edenderry Banbridge
95FF08,FORT Banbridge,Fort Banbridge
95FF09,GILFORD Banbridge,Gilford Banbridge
95FF10,GRANSHA Banbridge,Gransha Banbridge
95FF11,KATESBRIDGE Banbridge,Katesbridge Banbridge
95FF12,LAWRENCETOWN Banbridge,Lawrencetown Banbridge
95FF13,LOUGHBRICKLAND Banbridge,Loughbrickland Banbridge
95FF14,QUILLY Banbridge,Quilly Banbridge
95FF15,RATHFRILAND Banbridge,Rathfriland Banbridge
95FF16,SEAPATRICK Banbridge,Seapatrick Banbridge
95FF17,THE CUT Banbridge,The Cut Banbridge
95GG01,ANDERSONSTOWN Belfast,Andersonstown Belfast
95GG02,ARDOYNE Belfast,Ardoyne Belfast
95GG03,BALLYHACKAMORE Belfast,Ballyhackamore Belfast
95GG04,BALLYMACARRETT Belfast,Ballymacarrett Belfast
95GG05,BALLYNAFEIGH Belfast,Ballynafeigh Belfast
95GG06,BALLYSILLAN Belfast,Ballysillan Belfast
95GG07,BEECHMOUNT Belfast,Beechmount Belfast
95GG08,BELLEVUE Belfast,Bellevue Belfast
95GG09,BELMONT Belfast,Belmont Belfast
95GG10,BLACKSTAFF Belfast,Blackstaff Belfast
95GG11,BLOOMFIELD Belfast,Bloomfield Belfast
95GG12,BOTANIC Belfast,Botanic Belfast
95GG13,CASTLEVIEW Belfast,Castleview Belfast
95GG14,CAVEHILL Belfast,Cavehill Belfast
95GG15,CHERRYVALLEY Belfast,Cherryvalley Belfast
95GG16,CHICHESTER PARK Belfast,Chichester Park Belfast
95GG17,CLIFTONVILLE Belfast,Cliftonville Belfast
95GG18,CLONARD Belfast,Clonard Belfast
95GG19,CRUMLIN Belfast,Crumlin Belfast
95GG20,DUNCAIRN Belfast,Duncairn Belfast
95GG21,FALLS Belfast,Falls Belfast
95GG22,FALLS PARK Belfast,Falls Park Belfast
95GG23,FINAGHY Belfast,Finaghy Belfast
95GG24,FORTWILLIAM Belfast,Fortwilliam Belfast
95GG25,GLEN ROAD Belfast,Glen Road Belfast
95GG26,GLENCAIRN Belfast,Glencairn Belfast
95GG27,GLENCOLIN Belfast,Glencolin Belfast
95GG28,HIGHFIELD Belfast,Highfield Belfast
95GG29,ISLAND Belfast,Island Belfast
95GG30,KNOCK Belfast,Knock Belfast
95GG31,LADYBROOK Belfast,Ladybrook Belfast
95GG32,LEGONIEL Belfast,Legoniel Belfast
95GG33,MALONE Belfast,Malone Belfast
95GG34,MUSGRAVE Belfast,Musgrave Belfast
95GG35,NEW LODGE Belfast,New Lodge Belfast
95GG36,ORANGEFIELD Belfast,Orangefield Belfast
95GG37,RAVENHILL Belfast,Ravenhill Belfast
95GG38,ROSETTA Belfast,Rosetta Belfast
95GG39,SHAFTESBURY Belfast,Shaftesbury Belfast
95GG40,SHANKILL Belfast,Shankill Belfast
95GG41,STORMONT Belfast,Stormont Belfast
95GG42,STRANMILLIS Belfast,Stranmillis Belfast
95GG43,SYDENHAM Belfast,Sydenham Belfast
95GG44,THE MOUNT Belfast,The Mount Belfast
95GG45,UPPER MALONE Belfast,Upper Malone Belfast
95GG46,UPPER SPRINGFIELD Belfast,Upper Springfield Belfast
95GG47,WATER WORKS Belfast,Water Works Belfast
95GG48,WHITEROCK Belfast,Whiterock Belfast
95GG49,WINDSOR Belfast,Windsor Belfast
95GG50,WOODSTOCK Belfast,Woodstock Belfast
95GG51,WOODVALE Belfast,Woodvale Belfast
95HH01,BLACKHEAD Carrickfergus,Blackhead Carrickfergus
95HH02,BLUEFIELD Carrickfergus,Bluefield Carrickfergus
95HH03,BONEYBEFORE Carrickfergus,Boneybefore Carrickfergus
95HH04,BURLEIGH HILL Carrickfergus,Burleigh Hill Carrickfergus
95HH05,CLIPPERSTOWN Carrickfergus,Clipperstown Carrickfergus
95HH06,EDEN Carrickfergus,Eden Carrickfergus
95HH07,GORTALEE Carrickfergus,Gortalee Carrickfergus
95HH08,GREENISLAND Carrickfergus,Greenisland Carrickfergus
95HH09,KILLYCROT Carrickfergus,Killycrot Carrickfergus
95HH10,KNOCKAGH Carrickfergus,Knockagh Carrickfergus
95HH11,LOVE LANE Carrickfergus,Love Lane Carrickfergus
95HH12,MILEBUSH Carrickfergus,Milebush Carrickfergus
95HH13,NORTHLAND Carrickfergus,Northland Carrickfergus
95HH14,SUNNYLANDS Carrickfergus,Sunnylands Carrickfergus
95HH15,VICTORIA Carrickfergus,Victoria Carrickfergus
95HH16,WHITEHEAD Carrickfergus,Whitehead Carrickfergus
95HH17,WOODBURN Carrickfergus,Woodburn Carrickfergus
95II01,BALLYHANWOOD Castlereagh,Ballyhanwood Castlereagh
95II02,BEECHILL Castlereagh,Beechill Castlereagh
95II03,CAIRNSHILL Castlereagh,Cairnshill Castlereagh
95II04,CARROWREAGH Castlereagh,Carrowreagh Castlereagh
95II05,CARRYDUFF EAST Castlereagh,Carryduff East Castlereagh
95II06,CARRYDUFF WEST Castlereagh,Carryduff West Castlereagh
95II07,CREGAGH Castlereagh,Cregagh Castlereagh
95II08,DOWNSHIRE Castlereagh,Downshire Castlereagh
95II09,DUNDONALD Castlereagh,Dundonald Castlereagh
95II10,ENLER Castlereagh,Enler Castlereagh
95II11,GALWALLY Castlereagh,Galwally Castlereagh
95II12,GILNAHIRK Castlereagh,Gilnahirk Castlereagh
95II13,GRAHAM'S BRIDGE Castlereagh,Graham's Bridge Castlereagh
95II14,HILLFOOT Castlereagh,Hillfoot Castlereagh
95II15,KNOCKBRACKEN Castlereagh,Knockbracken Castlereagh
95II16,LISNASHARRAGH Castlereagh,Lisnasharragh Castlereagh
95II17,LOWER BRANIEL Castlereagh,Lower Braniel Castlereagh
95II18,MINNOWBURN Castlereagh,Minnowburn Castlereagh
95II19,MONEYREAGH Castlereagh,Moneyreagh Castlereagh
