sure start centre,inputted_ward,bestMatch,bestMatchId,bestScore,others,bestLGD,bestCode
Last Sure Start,Camowen,Camowen,547,1,Carnmoney|Carnmoon,Omagh,95YY02
Last Sure Start,Strule,Strule,564,1,Steeple|Stiles,Omagh,95YY19
Last Sure Start,Fintona,Fintona,556,1,Finn|Victoria,Omagh,95YY11
Last Sure Start,Termon,Termon,565,1,Stormont|Belmont,Omagh,95YY20
Edenballymore Sure Start,Brandywell,Brandywell,281,1,Cranfield|Ballykeel,Derry,95MM05
Edenballymore Sure Start,The Diamond,The Diamond,304,1,The Mount|The Highlands,Derry,95MM28
Edenballymore Sure Start,Westland,Westland,306,1,Island|Strand,Derry,95MM30
Edenballymore Sure Start,Strand,Strand,231,1,Strand|Westland,Coleraine,95JJ19
Edenballymore Sure Start,Beechwood,Beechwood,280,1,Beechmount|Beechill,Derry,95MM04
Edenballymore Sure Start,Creggan Central,Creggan Central,286,1,Creggan South|Kilkeel Central,Derry,95MM10
Edenballymore Sure Start,Creggan South,Creggan South,287,1,Creggan Central|Coalisland South,Derry,95MM11
Rainbow Sure Start,Castlederg,Castlederg,569,1,Castleview|Castlerock,Strabane,95ZZ03
Rainbow Sure Start,Glenderg,Glenderg,574,1,Glenarm|Glendun,Strabane,95ZZ08
Rainbow Sure Start,Clare,Clare,570,1,Clady|Clonard,Strabane,95ZZ04
Rainbow Sure Start,Drumquin,Drumquin,553,1,Drumgullion|Crumlin,Omagh,95YY08
Rainbow Sure Start,Newtownstewart,Newtownstewart,575,1,Newtownbreda|Portstewart,Strabane,95ZZ09
Waterside Sure Start,Victoria,Victoria,187,1,Victoria|Victoria Bridge,Carrickfergus,95HH15
Waterside Sure Start,Ebrington,Ebrington,290,1,Springtown|Eglinton,Derry,95MM14
Waterside Sure Start,Enagh,Enagh,292,1,Enagh|Annagh,Derry,95MM16
Glenbrook Sure Start,Ardoyne,Ardoyne,123,1,Ardboe|Armoy,Belfast,95GG02
Glenbrook Sure Start,Cliftonville,Cliftonville,138,1,Woodville|Antiville,Belfast,95GG17
East Belfast Sure Start,Island,Island,150,1,Westland|Lisbane,Belfast,95GG29
East Belfast Sure Start,The Mount,The Mount,165,1,The Cut|Beechmount,Belfast,95GG44
East Belfast Sure Start,Enler,Enler,199,1,Glenderg|Edenderry,Castlereagh,95II10
East Belfast Sure Start,Tullycarnet,Tullycarnet,210,1,Ballymacarrett|Ballyrainey,Castlereagh,95II21
Colin Neighbourhood Sure Start,Twinbrook,Twinbrook,433,1,Ladybrook|Bessbrook,Lisburn,95SS29
Colin Neighbourhood Sure Start,Poleglass,Poleglass,430,1,Ardglass|Drumglass,Lisburn,95SS26
Colin Neighbourhood Sure Start,Old Warren,Old Warren,429,1,Craigywarren|Glencairn,Lisburn,95SS25
Colin Neighbourhood Sure Start,Kilwee,Kilwee,420,1,Killeen|Kilrea,Lisburn,95SS16
Lower Ards Peninsula Sure Start,Scrabo,Scrabo,41,1,Strand|Strand,Ards,95BB22
Lower Ards Peninsula Sure Start,Portavogie,Portavogie,40,1,Portaferry|Gortalee,Ards,95BB21
Lower Ards Peninsula Sure Start,Kircubbin,Kircubbin,34,1,Killycomain|Crumlin,Ards,95BB15
Lower Ards Peninsula Sure Start,Ballywalter,Ballywalter,22,1,Ballyrainey|Ballyward,Ards,95BB03
Lower Ards Peninsula Sure Start,Portaferry,Portaferry,39,1,Gortalowry|Portstewart,Ards,95BB20
SMILE Sure Start,New Lodge,New Lodge,156,1,New Buildings|Newbuildings,Belfast,95GG35
SMILE Sure Start,Duncairn,Duncairn,141,1,Glencairn|Dunnamore,Belfast,95GG20
Downpatrick Sure Start,Cathedral,Cathedral,313,1,Maghera|Magheralin,Down,95NN07
Downpatrick Sure Start,Killough,Killough,320,1,Murlough|Camlough,Down,95NN14
Downpatrick Sure Start,Ballymote,Ballymote,310,1,Ballybot|Ballyholme,Down,95NN04
Downpatrick Sure Start,Ardglass,Ardglass,307,1,Drumglass|Poleglass,Down,95NN01
Downpatrick Sure Start,Audley's Acre,Audley's Acre,308,1,Abbey Park|Cullybackey,Down,95NN02
Downpatrick Sure Start,Strangford,Strangford,328,1,Springfarm|Strand,Down,95NN22
Downpatrick Sure Start,Quoile,Quoile,324,1,Quilly|Coole,Down,95NN18
South Belfast Sure Start,Ballynafeigh,Ballynafeigh,126,1,Ballymaguigan|Ballycraigy,Belfast,95GG05
South Belfast Sure Start,Botanic,Botanic,133,1,Atlantic|Blaris,Belfast,95GG12
South Belfast Sure Start,Blackstaff,Blackstaff,131,1,Blackhead|Blackcave,Belfast,95GG10
South Belfast Sure Start,Upper Malone,Upper Malone,166,1,Upper Braniel|Upper Glenshane,Belfast,95GG45
Clan Mór Sure Start,Clonard,Clonard,139,1,Donard|Coolnagard,Belfast,95GG18
Clan Mór Sure Start,Falls,Falls,142,1,Kells|Mallusk,Belfast,95GG21
Shankill Sure Start,Highfield,Highfield,149,1,Hopefield|Saintfield,Belfast,95GG28
Shankill Sure Start,Glencairn,Glencairn,147,1,Duncairn|Glencolin,Belfast,95GG26
Shankill Sure Start,Woodvale,Woodvale,172,1,Woodville|Woodburn,Belfast,95GG51
Shankill Sure Start,Ballysillan,Ballysillan,127,1,Ballysally|Ballycolman,Belfast,95GG06
Shankill Sure Start,Crumlin,Crumlin,6,1,Crumlin|Drumquin,Antrim,95AA06
Beechmount Sure Start,Beechmount,Beechmount,128,1,Belmont|The Mount,Belfast,95GG07
Outer West Belfast Sure Start,Andersonstown,Andersonstown,122,1,Randalstown|Brownstown,Belfast,95GG01
Outer West Belfast Sure Start,Glencolin,Glencolin,148,1,Glencairn|Glenaan,Belfast,95GG27
Outer West Belfast Sure Start,Ladybrook,Ladybrook,152,1,Twinbrook|Bessbrook,Belfast,95GG31
Saol Ur Sure Start,Falls Park,Falls Park,143,1,Wallace Park|Abbey Park,Belfast,95GG22
Saol Ur Sure Start,Upper Springfield,Upper Springfield,167,1,Upper Braniel|Upper Malone,Belfast,95GG46
Saol Ur Sure Start,Whiterock,Whiterock,169,1,Whitespots|Castlerock,Belfast,95GG48
